epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.8267,1.41511,3.43074,1.93656,0.38419,0.60227,0.37333,0.30416,0.65152,7.85895,1.05431,0.0001125,0.0001125,0.0001125
2,96.9635,0.62172,1.98023,1.30304,0.31663,0.49048,0.40779,0.32909,0.80711,3.68453,1.16593,0.000235149,0.000235149,0.000235149
3,142.715,0.51474,1.52728,1.17607,0.45617,0.70227,0.54344,0.43913,0.6867,2.86454,1.06095,0.000355322,0.000355322,0.000355322
4,188.359,0.49288,1.36217,1.17793,0.66111,0.50697,0.65005,0.52934,0.649,3.25401,1.04665,0.000473021,0.000473021,0.000473021
5,234.365,0.49454,1.27458,1.14426,0.55796,0.6745,0.62645,0.21255,1.52305,3.47669,2.00714,0.000588245,0.000588245,0.000588245
6,279.806,0.54525,1.27435,1.21786,0.76435,0.40227,0.41176,0.26815,1.31688,3.42541,1.58765,0.000700994,0.000700994,0.000700994
7,324.657,0.55332,1.22872,1.1949,0.36194,0.55,0.47633,0.28202,1.18433,3.60483,1.55532,0.000811267,0.000811267,0.000811267
8,369.325,0.51288,1.13374,1.16089,0.27806,0.56978,0.41278,0.29864,0.61145,2.90126,1.00165,0.000919066,0.000919066,0.000919066
9,413.916,0.51279,1.07728,1.15557,0.23131,0.46818,0.23002,0.07141,2.93896,4.33033,3.39564,0.00102439,0.00102439,0.00102439
10,458.778,0.57917,1.18314,1.20817,0.33745,0.49536,0.32966,0.2443,0.9488,2.26684,1.22045,0.00112724,0.00112724,0.00112724
11,503.185,0.54236,1.12865,1.171,0.67103,0.30455,0.30515,0.20032,0.98703,3.10471,1.23146,0.00112625,0.00112625,0.00112625
12,548.968,0.50174,1.10474,1.13576,0.71149,0.52388,0.57022,0.38345,0.82832,2.0138,1.25898,0.00111388,0.00111388,0.00111388
13,593.765,0.46097,0.97621,1.131,0.3934,0.56124,0.39076,0.31737,0.62314,2.52908,1.14401,0.0011015,0.0011015,0.0011015
14,638.428,0.46654,0.93737,1.09876,0.42944,0.66994,0.41305,0.20398,0.91984,2.80688,1.34509,0.00108913,0.00108913,0.00108913
15,682.92,0.53792,1.10092,1.16967,0.69713,0.67864,0.77155,0.51521,1.00661,2.17048,1.32225,0.00107675,0.00107675,0.00107675
16,727.731,0.53075,1.00649,1.1527,0.74744,0.65,0.64479,0.36465,0.82936,2.45983,1.12899,0.00106437,0.00106437,0.00106437
